Unique ID,Data Source,WDFW ID,DNR ID,RMAP ID,QIN ID,FS ID,CSP ID,PRISM Project #,Barrier Type,Latitude (from database),Longitude (from database),Latitude (map adjusted),Longitude (map adjusted),Stream Name,Tributary To Name,Interested Parties,Road Ownership,Road Name,Road Block,Road Number,Mile Post,County,HUC 10 Name,WRIA,Barrier Status,Barrier Passability,Reason,Verified,VerifiedDate,Barrier Width (m),Barrier Height (m),Barrier Length (m),Road Fill Depth (m),Channel Width (m),Priority Index (PI),Comments,Record Update Date,Record Update Person,On NHD?,Multiple Pipes,Include in Prioritization?,Barrier Flag,Total Prioritization Score,Downstream Barrier Count,"Total Habitat Gain (Coho, miles)","Total Habitat Gain (Steelhead, miles)","Total Habitat Gain (Chinook, miles)","Total Habitat Gain (Resident, miles)",x,y
CWCC.02980,QIN.on,2310w17i,,,2310w17i,,,,Culvert,47.4779538382945,-123.971524900065,47.4778813240001,-123.971514171,unnamed,Prairie Creek,Quinault,Other,Logging rd SE T23 R10 S17,,,,Grays Harbor,Lower Quinault River,21,Barrier,0%,Drop,Yes,"5/10/2010, 5:00 PM",0.91,0.91,8.1,1.20000004768372,1.20000004768372,,,,,No,No,No,,,,,,,,-13800445.830363188,6020428.310929624
CWCC.04112,WDFW.NoNatural,23105w11a,,,,,,,Culvert,47.503525,-124.037089,47.503597912,-124.036995289,unnamed,South Fork Salmon River,Quinault,Tribal,Logging rd,,,,Grays Harbor,Queets River,21,No Barrier,100%,NA,Yes,"8/3/2009, 5:00 PM",2.24,2.24,11.5,1.7,2.4,,,,,Yes,No,No,,,,,,,,-13807735.155148275,6024664.980960396
CWCC.04154,WDFW.NoNatural,2311w14a,,,,,,,Culvert,47.480012336,-124.046757937,47.4799889620001,-124.046620099,unnamed,Lunch Creek,Quinault,Private,BIA 9200 Rd,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,33%,Depth,Yes,"4/24/2019, 5:00 PM",1.2,1.2,10.4,2,1.34,1.49,,"8/8/2019, 1:54 AM",SSV\flemiacf1,Yes,No,Yes,,35.275,2,0.12,0.12,0,0,-13808806.584042171,6020775.455050395
CWCC.04167,WDFW.NoNatural,2311w21a,,,,,,,Culvert,47.470861815,-124.089105604,47.470861815,-124.089105604,unnamed,Lunch Creek,Quinault,Federal,logging rd,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,No Barrier,100%,NA,Yes,"10/12/2008, 5:00 PM",0.75,0.75,7.3,0.3,0.95,,,"11/11/2009, 4:00 PM",bensoblb,No,No,No,,,,,,,,-13813536.048834814,6019272.244745875
CWCC.04328,WDFW.NoNatural,900020,,,,,,,Culvert,47.538183,-124.08494,47.5381830000001,-124.08494,unnamed,Salmon River,Quinault,State,Nfd 2331,,,,Jefferson,Queets River,21,No Barrier,100%,NA,Yes,"9/28/2014, 5:00 PM",3.32,3.32,21.1,6,2.13,,,"8/11/2020, 5:00 PM",bkrier,No,No,No,,,,,,,,-13813072.335875241,6030365.962585274
CWCC.04384,WDFW.NoNatural,932529,,,,,,,Culvert,47.48489,-124.04114,47.4848768310001,-124.041154023,Lunch Creek,Raft River,Quinault,Tribal,logging road,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Unknown,Unknown Barrier Status,NA,Yes,"1/16/2013, 4:00 PM",1.82,1.82,14.9,6,4,,Contact QIN prior to any activity on these lands.,"8/11/2020, 5:00 PM",bkrier,Yes,No,Yes,,27.475,2,0.07,0.07,0,0,-13808198.103291472,6021580.577846907
CWCC.04386,WDFW.NoNatural,932725,,,,,,,Culvert,47.487378,-124.060102,47.487378,-124.060102,unnamed,Lunch Creek,Quinault,Tribal,,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Unknown,Unknown Barrier Status,NA,Yes,"9/9/2013, 5:00 PM",0.61,0.61,-999.9,-999.9,-99.99,,,"12/16/2013, 6:25 AM",SSV\thompjrt,No,No,No,,,,,,,,-13810307.382448416,6021992.595731062
CWCC.04490,WDFW.NoNatural,934845,,,,,,,Other,47.47403,-124.06644,47.47403,-124.066439999,unnamed,Lunch Creek,Quinault,Tribal,BIA 9400 Rd,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,No Barrier,100%,NA,Yes,"4/1/2019, 5:00 PM",-99.99,-99.99,-999.9,-999.9,-99.99,,,"4/11/2019, 7:12 AM",SSV\lewissml,No,No,No,,,,,,,,-13811012.925260015,6019794.004531391
CWCC.04491,WDFW.NoNatural,934846,,,,,,,Other,47.47588,-124.06597,47.475726357,-124.065897051,Lunch Creek,Raft River,Quinault,Tribal,BIA-9400,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,No Barrier,100%,NA,Yes,"4/1/2019, 5:00 PM",-99.99,-99.99,-999.9,-999.9,-99.99,,,"4/11/2019, 7:12 AM",SSV\lewissml,Yes,No,No,,,,,,,,-13810952.48455251,6020073.385799996
CWCC.04492,WDFW.NoNatural,934847,,,,,,,Other,47.47861,-124.03728,47.478606375,-124.037285364,unnamed,Lunch Creek,Quinault,Tribal,BIA 9200 Rd,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,No Barrier,100%,NA,Yes,"4/2/2019, 5:00 PM",-99.99,-99.99,-999.9,-999.9,-99.99,,,,,No,No,No,,,,,,,,-13807767.446150897,6020547.730729085
CWCC.04493,WDFW.NoNatural,934848,,,,,,,Culvert,47.47881,-124.0388,47.4787846190001,-124.038737312,unnamed,Lunch Creek,Quinault,Tribal,BIA 9200 Rd,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,33%,Slope,Yes,"4/2/2019, 5:00 PM",0.76,0.76,12.4,2,1.34,,Anadramous access is unlikely due to 30m subsurface flow near DS confluence. Possibly resident only but stream may dry up during summer.,"8/7/2019, 9:59 AM",SSV\flemiacf1,Yes,No,Yes,No Estimated Upstream Habitat Gain; Downstream 0% Passable Barrier,22.875,3,0,0,0,0,-13807929.076200355,6020577.088841622
CWCC.04494,WDFW.NoNatural,934849,,,,,,,Culvert,47.47903,-124.0411,47.479069882,-124.041129504,unnamed,Lunch Creek,Quinault,Tribal,BIA 9200 Rd,,,,Grays Harbor,Raft River-Frontal Pacific Ocean,21,Barrier,0%,Slope,Yes,"4/2/2019, 5:00 PM",0.61,0.61,11.3,3,1.15,3.46,,"7/3/2019, 8:13 AM",SSV\flemiacf1,No,No,No,,,,,,,,-13808195.37384927,6020624.07373222
CWCC.04495,WDFW.NoNatural,934902,,,,,,,Other,47.48189,-123.98516,47.4818900000001,-123.98516,unnamed,Ten O'Clock Creek,Quinault,Tribal,BIA;US-101,,,,Grays Harbor,Lower Quinault River,21,Barrier,0%,Failed,Yes,"3/27/2019, 5:00 PM",-99.99,-99.99,-999.9,-999.9,-99.99,,,,,No,No,No,,,,,,,,-13801964.877162606,6021088.582434031
CWCC.04497,WDFW.NoNatural,934932,,,,,,,Culvert,47.478199,-123.988599,47.478379664,-123.988646569,unnamed,Ten O'Clock Creek,Quinault,Private,private,,,,Grays Harbor,Lower Quinault River,21,Unknown,Unknown Barrier Status,Insufficient Data,Yes,"3/27/2019, 5:00 PM",0.91,0.91,9.4,2,3.31,,"Road is abandoned and overgrown. Jennings, 04/03/2019","4/11/2019, 5:09 AM",SSV\jennilmj,Yes,No,Yes,Downstream 0% Passable Barrier,29.025,5,0.57,0.57,0,0.63,-13802353.000169381,6020510.390047283
