Unique ID,Data Source,WDFW ID,DNR ID,RMAP ID,QIN ID,FS ID,CSP ID,Barrier Type,Latitude (from database),Longitude (from database),Latitude (map adjusted),Longitude (map adjusted),Stream Name,Tributary To Name,Interested Parties,Road Ownership,Road Name,Road Block,Road Number,Mile Post,County,HUC 10 Name,WRIA,Barrier Status,Barrier Passability,Barrier Flag,DST Calculation Adjustment,Fish Type,Total Prioritization Score,Habitat Quantity Score,Habitat Potential Score,Connectivity Score,Current Condition Score,Future Condition Score,Barrier Passability Score,Downstream Barrier Count,Downstream Barrier Count Score,Downstream Minimum Passability,Downstream Minimum Passability Score,Upstream Barrier Count,Upstream Barrier Count Score,Upstream Minimum Passability,Upstream Minimum Passability Score,Maximum Net Anadromous Habitat Gain Score,"Net Habitat Gain (Coho, miles)",Net Upstream Habitat Gain Coho Score,"Total Habitat Gain (Coho, miles)","Net Habitat Gain (Steelhead, miles)",Net Upstream Habitat Gain Steelhead Score,"Total Habitat Gain (Steelhead, miles)","Net Habitat Gain (Chinook, miles)",Net Upstream Habitat Gain Chinook Score,"Total Habitat Gain (Chinook, miles)","Net Habitat Gain (Sockeye, miles)",Net Upstream Habitat Gain Sockeye Score,"Total Habitat Gain (Sockeye, miles)","Net Habitat Gain (Bull Trout, miles)",Net Upstream Habitat Gain Bull Trout Score,"Total Habitat Gain (Bull Trout, miles)","Net Habitat Gain (Resident, miles)",Net Upstream Habitat Gain Resident Score,"Total Habitat Gain (Resident, miles)",Number of Species,Maximum Habitat Potential Score,Net Habitat Potential (Coho Winter),Habitat Potential Coho Winter Score,Net Habitat Potential (Coho Summer),Habitat Potential Coho Summer Score,Net Habitat Potential (Steelhead),Habitat Potential Steelhead Score,Net Habitat Potential (Chinook),Habitat Potential Chinook Score,Number of Documented Species,Documented Coho,Documented Steelhead,Documented Chinook,Documented Sockeye,Documented Bull Trout,Documented Resident,"Stream Temperature (2019, degrees C)",Current Stream Temperature Score,"Stream Temperature (2080, degrees C)",Future Stream Temperature Score,Future Winter Max Flows (Percent Change),Future Winter Max Flows Score,Future Winter Bankfull Flows (Percent Change),Future Winter Bankfull Flows Score,Future Summer Flows,Future Summer Flows Score,x,y
CWCC.00368,WDFW March 2021,998916,13012,2690012,,,,Culvert,47.8699790006,-124.367314,47.87000878,-124.367335515,unnamed,unnamed,Quileute,State,Anderson Ridge Rd,GOODMAN,G_2000,,Jefferson,Bogachiel River,20,Barrier,67%,,,Resident and Anadromous,42.325,5,8.5,18.2,5,5.625,3,1,4,67%,4,0,5,NA,5,1,0.03,1,0.03,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0.03,1,0.03,3,2,0.26,2,0.13,1,0.1,1,-99999,0,0,No,No,No,No,No,No,21.5279217552579,2,23.7548168713768,1,18.02507101986,2,15.4996785072823,4,28.4096428887483,2,-13844508.460873954,6085256.109205086
CWCC.00369,WDFW March 2021,998913,13013,2690012,,,,Culvert,47.8679270006,-124.37159,47.867996051,-124.371566918,unnamed,May Creek,Quileute,State,G_2100,GOODMAN,G_2100,,Jefferson,Bogachiel River,20,Barrier,0%,,,Resident and Anadromous,49.025,5,10,23.4,5,5.625,5,1,4,67%,4,0,5,NA,5,1,0.78,1,0.78,0.78,1,0.78,0,0,0,0,0,0,0,0,0,0.49,1,0.49,3,2,0.33,2,0.33,2,0.15,1,-99999,0,1,No,No,No,No,No,Yes,21.5279217552579,2,23.7548168713768,1,18.02507101986,2,15.4996785072823,4,28.4096428887483,2,-13844979.498462029,6084922.110045811
CWCC.00636,WDFW March 2021,162026,13581,2690012,,,,Culvert,47.758923,-124.386293999,47.758832898,-124.38584878,unnamed,Ruby Creek,Hoh,State,H 4500,KALALOCH,H_4500,,Jefferson,Hoh River,20,Barrier,0%,Resident Only; Downstream 0% Passable Barrier,,Resident Only,33.075,2,1.5,20.2,5,4.375,5,1,4,0%,0,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,1,0.42,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13846569.348098934,6066826.592423172
CWCC.00637,WDFW March 2021,162025,13582,2690012,,,,Culvert,47.7590010006,-124.384281,47.7592123430001,-124.384277501,Ruby Creek,Hoh River,Hoh,State,H 4500,KALALOCH,H_4500,,Jefferson,Hoh River,20,Barrier,0%,Resident Only; Downstream 0% Passable Barrier,,Resident Only,33.075,2,1.5,20.2,5,4.375,5,1,4,0%,0,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,1,0.13,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13846394.434085673,6066889.425633229
CWCC.00649,WDFW March 2021,162105,14000,2610033,,,,Culvert,47.7720409999,-124.355201999,47.771992853,-124.35480567,unnamed,Hoh River,Hoh,Private,spur; G3000,2006,28.4X,,Jefferson,Hoh River,20,Barrier,0%,Resident Only,,Resident Only,36.275,2,1.5,23.4,5,4.375,5,1,4,67%,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1,0.01,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13843113.64485802,6069006.047873009
CWCC.00650,WDFW March 2021,163103,14003,2610033,,,,Culvert,47.772709,-124.35442,47.7727669930001,-124.354529298,unnamed,Hoh River,Hoh,Private,M28X,2006,M28X,,Jefferson,Hoh River,20,Unknown,Unknown Barrier Status,,,Resident and Anadromous,36.275,5,10.5,11.4,5,4.375,1,3,2,67%,4,0,5,NA,5,1,0.21,1,0.21,0.21,1,0.21,0,0,0,0,0,0,0,0,0,0.03,1,0.03,3,3,0.45,3,0.12,1,0.17,1,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13843082.87923642,6069134.27252764
CWCC.00672,WDFW March 2021,162031,13622,2690012,,,,Culvert,47.7821729998,-124.292156,47.782186304,-124.292204481,unnamed,Hoh River,Hoh,State,Cottonwood Campground rd,KALALOCH,H_4060,0.6,Jefferson,Hoh River,20,Barrier,33%,,,Resident and Anadromous,42.475,5,10.5,17.6,5,4.375,4,1,4,Unknown Barrier Status,4,3,2,0%,0,1,0.49,1,1.17,0.49,1,1.17,0,0,0,0,0,0,0,0,0,0.49,1,1.41,3,3,0.52,3,0.15,1,0.19,1,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13836144.912400201,6070694.591832358
CWCC.00692,WDFW March 2021,998917,13742,2690012,,,,Culvert,47.8683299994,-124.37121,47.868300403,-124.371344846,unnamed,unnamed,Quileute,State,FR-G-2100,GOODMAN,G_2100,,Jefferson,Bogachiel River,20,Barrier,0%,,,Resident and Anadromous,47.525,5,8.5,23.4,5,5.625,5,1,4,67%,4,0,5,NA,5,1,0.13,1,0.13,0.13,1,0.13,0,0,0,0,0,0,0,0,0,0.2,1,0.2,3,2,0.37,2,0.14,1,0.14,1,-99999,0,0,No,No,No,No,No,No,21.5279217552579,2,23.7548168713768,1,18.02507101986,2,15.4996785072823,4,28.4096428887483,2,-13844954.777557928,6084972.614464589
CWCC.00710,DNR,,13829,2610033,,,,Culvert,47.7601710002,-124.424175,47.760174357,-124.424166479,unnamed,unnamed,Hoh,Private,3608.3,2006,3608.3,,Jefferson,Hoh River,20,Barrier,Unknown Passability,No Estimated Upstream Habitat Gain,,No Estimated Upstream Habitat,24.975,0,0,15.6,5,4.375,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13850834.854816653,6067048.729738854
CWCC.00716,WDFW March 2021,163102,13848,2610033,,,,Culvert,47.7726479995,-124.354106999,47.772608636,-124.354118967,unnamed,Hoh River,Hoh,Private,FR-G-3000,2006,GOODMAN 3000,,Jefferson,Hoh River,20,Unknown,Unknown Barrier Status,,,Resident and Anadromous,35.875,5,10.5,11,5,4.375,1,2,3,67%,4,2,3,67%,4,1,0.23,1,0.23,0.23,1,0.23,0,0,0,0,0,0,0,0,0,0.05,1,0.05,3,3,0.47,3,0.13,1,0.17,1,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13843037.201397715,6069108.042843458
CWCC.00718,WDFW March 2021,163100,13850,2610033,,,,Culvert,47.7715049998,-124.351564999,47.771501163,-124.351574432,unnamed,Hoh River,Hoh,Private,G3000; Oil City Rd,2006,M28X,,Jefferson,Hoh River,20,Unknown,Unknown Barrier Status,,,Resident and Anadromous,36.675,5,10.5,11.8,5,4.375,1,1,4,67%,4,2,3,Unknown Barrier Status,4,1,0.47,1,0.47,0.47,1,0.47,0,0,0,0,0,0,0,0,0,0.23,1,0.23,3,3,0.45,3,0.19,1,0.18,1,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13842753.945155239,6068924.607930601
CWCC.00728,DNR,,13873,2610033,,,,Culvert,47.7684820004,-124.423987,47.768465344,-124.42399947,unnamed,Mosquito Creek,Hoh,Private,3607.2,2006,3607.2,,Jefferson,Goodman Creek-Frontal Pacific Ocean,20,Barrier,Unknown Passability,,,Anadromous Only,43.1,3,7,15.6,10,7.5,2,1,4,Unknown Passability,4,0,5,NA,5,1,0.25,1,0.25,0.25,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.15,1,0.31,2,0.08,1,-99999,0,0,No,No,No,No,No,No,8.15163639507556,4,9.02408326652478,4,22.5439657863461,1,13.6397538923122,4,23.8404230196584,3,-13850816.263481319,6068421.793495214
CWCC.00729,DNR,,13874,2610033,,,,Culvert,47.7705510007,-124.427102999,47.7705350350001,-124.427112702,unnamed,Mosquito Creek,Hoh,Private,3607.223,2006,3607.223,,Jefferson,Goodman Creek-Frontal Pacific Ocean,20,Barrier,Unknown Passability,,,Resident and Anadromous,45.4,5,8.5,14.4,10,7.5,2,1,4,Unknown Barrier Status,4,2,3,67%,4,1,0.4,1,0.4,0.4,1,0.4,0,0,0,0,0,0,0,0,0,0.07,1,0.07,3,2,0.16,1,0.39,2,0.09,1,-99999,0,0,No,No,No,No,No,No,8.15163639507556,4,9.02408326652478,4,22.5439657863461,1,13.6397538923122,4,23.8404230196584,3,-13851162.826843666,6068764.5875498215
CWCC.00748,DNR,,13928,2610033,,,,Culvert,47.76398,-124.223598,47.763976836,-124.223603727,unnamed,unnamed,Hoh,Private,A_LINE,2001,A_LINE,,Jefferson,Hoh River,20,Barrier,Unknown Passability,Resident Only,,Resident Only,28.475,2,1.5,15.6,5,4.375,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1,0.01,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,18.6062497784395,2,20.6630416237976,2,17.8149997868815,2,19.7198709824723,2,30.732546961021,1,-13828508.31143364,6067678.428130983
CWCC.00749,DNR,,13931,2610033,,,,Culvert,47.7654999993,-124.212064,47.76550589,-124.212113619,unnamed,unnamed,Hoh,Private,A_LINE,2001,A_LINE,,Jefferson,Hoh River,20,Barrier,Unknown Passability,Resident Only,,Resident Only,28.475,2,1.5,15.6,5,4.375,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,1,0.11,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,18.6062497784395,2,20.6630416237976,2,17.8149997868815,2,19.7198709824723,2,30.732546961021,1,-13827229.238414083,6067931.655602345
CWCC.00750,DNR,,13938,2610033,,,,Culvert,47.7634590003,-124.405336,47.7634389460001,-124.405339847,unnamed,unnamed,Hoh,Private,3609,2006,3609,,Jefferson,Hoh River,20,Barrier,Unknown Passability,Resident Only (Adjusted); Downstream 0% Passable Barrier,,Resident Only,24.475,2,1.5,11.6,5,4.375,2,2,3,0%,0,0,5,NA,5,0,,0,,,0,,,0,,,0,,,0,,0.16,1,0.16,1,0,,0,,0,,0,,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13848739.083730083,6067589.349661559
CWCC.00751,DNR,,13939,2610033,,,,Culvert,47.7644069998,-124.399215,47.7641703080001,-124.398959448,unnamed,unnamed,Hoh,Private,G-3607,2006,3609,,Jefferson,Hoh River,20,Barrier,Unknown Passability,No Estimated Upstream Habitat Gain (Adjusted); Downstream 0% Passable Barrier,,No Estimated Upstream Habitat,20.975,0,0,11.6,5,4.375,2,2,3,0%,0,0,5,NA,5,0,,0,,,0,,,0,,,0,,,0,,0,0,0,0,0,,0,,0,,0,,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13848028.820955066,6067710.468757059
CWCC.00769,DNR,,14012,2610033,,,,Bridge,47.7774260005,-124.378990999,47.7774461720001,-124.378949014,unnamed,unnamed,Hoh,Private,3991,2006,3991,,Jefferson,Goodman Creek-Frontal Pacific Ocean,20,Barrier,Unknown Passability,Resident Only,,Resident Only,36.6,2,1.5,15.6,10,7.5,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,1,0.69,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,8.15163639507556,4,9.02408326652478,4,22.5439657863461,1,13.6397538923122,4,23.8404230196584,3,-13845801.26963379,6069909.348331404
CWCC.00770,DNR,,14013,2610033,,,,Culvert,47.7777169999,-124.383307001,47.7777045650001,-124.383276193,unnamed,unnamed,Hoh,Private,28-X,2006,3991,,Jefferson,Goodman Creek-Frontal Pacific Ocean,20,Barrier,Unknown Passability,No Estimated Upstream Habitat Gain,,No Estimated Upstream Habitat,33.1,0,0,15.6,10,7.5,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,8.15163639507556,4,9.02408326652478,4,22.5439657863461,1,13.6397538923122,4,23.8404230196584,3,-13846282.968971971,6069952.151517753
CWCC.00945,DNR,,14940,2610201,,,,Culvert,48.172153,-124.581257,48.1721411730001,-124.581312279,unnamed,unnamed,Makah,Tribal,7108,OZETTE,7108,,Clallam,Ozette Lake-Frontal Pacific Ocean,20,Barrier,Unknown Passability,Resident Only,,Resident Only,33.725,2,3,15.6,7.5,5.625,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,1,0.32,1,0,-99999,0,-99999,0,-99999,0,-99999,0,1,No,No,No,No,No,Yes,13.901537436328,3,15.3753923068315,3,16.8653325111034,3,30.6958965434656,1,25.1030130787163,2,-13868328.245255262,6135540.921536919
CWCC.00955,DNR,,15216,2690004,,,,Culvert,47.9951930004,-124.574342999,47.995207339,-124.574338309,unnamed,West Fork Dickey River,Quileute,Private,5325,East West Dickey - CL1040,5325,,Clallam,Dickey River,20,Barrier,Unknown Passability,,,Anadromous Only,37.6,3,9,15.6,5,5,2,1,4,Unknown Passability,4,0,5,NA,5,1,0.05,1,0.05,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.5,3,0.21,2,0.2,2,-99999,0,0,No,No,No,No,No,No,21.0706481458769,2,23.1913227883714,1,14.3689078495542,4,26.034521950024,1,24.7623546135854,2,-13867551.906453386,6106057.543905908
CWCC.00966,DNR,,15496,2690004,,,,Culvert,48.0421000006,-124.548475001,48.042098029,-124.548472585,unnamed,West Fork Dickey River,Quileute,Private,5230,East West Dickey - CL1040,5230,,Clallam,Dickey River,20,Barrier,Unknown Passability,,,Resident and Anadromous,62.1,20,16.5,15.6,5,5,2,1,4,Unknown Barrier Status,4,0,5,NA,5,4,3.4,4,3.4,3.4,4,3.4,0.85,1,0.85,0,0,0,0,0,0,3.38,4,3.38,4,3,0.4,3,0.25,2,0.18,1,0.15,1,3,Yes,Yes,Yes,No,No,No,21.0706481458769,2,23.1913227883714,1,14.3689078495542,4,26.034521950024,1,24.7623546135854,2,-13864672.547285084,6113861.3065497
CWCC.01026,DNR,,15187,2690004,,,,Culvert,48.0852669997,-124.408185001,48.0852130850001,-124.4081806,unnamed,unnamed,Quileute,Private,9000,East West Dickey - CL1100,9000,,Clallam,Dickey River,20,Barrier,Unknown Passability,Resident Only,,Resident Only,29.725,2,1.5,15.6,5,5.625,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1,0.01,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,16.3037206570482,2,18.0881692026422,2,16.9823276476504,3,20.878612958949,2,25.2710409760914,2,-13849055.314933613,6121042.982056296
CWCC.01035,DNR,,15200,2690004,,,,Culvert,48.0932920003,-124.400480999,48.093726814,-124.400195664,unnamed,unnamed,Quileute,Private,9005,East West Dickey - CL1120,9005,,Clallam,Dickey River,20,Barrier,Unknown Passability,Resident Only,,Resident Only,29.725,2,1.5,15.6,5,5.625,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,1,0.86,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,16.3037206570482,2,18.0881692026422,2,16.9823276476504,3,20.878612958949,2,25.2710409760914,2,-13848166.43592254,6122461.825588451
