OBJECTID,BarrierID,StreamName,TributaryTo,County,OwnerType,FeatureType,Species,PassiblePercent,HabitatQuantity_Chinook_mi,HabitatQuality_IPScore_Chinook,HabitatQuantity_Coho_mi,HabitatQuality_IPScore_Coho,HabitatQuantity_Steelhead_mi,HabitatQuality_IPScore_Steelhea,HabitatQuantity_Chum_mi,HabitatQuantity_Cutthroat_mi,NumberSpeciesBenefit,DownstreamBarriers_Count,DownstreamBarriers_MinpercPass,UpstreamBarriers_Count,UpstreamBarriers_MinpercPass,RoadDensity_mipersqmi,WaterQuality_303d,StreamTemperature_degC,FutureStreamTemperature_degC,CanopyCover_openingangledegrees,TreeHeight_avgm,BufferWidth_avgm,NetHabitatQuantity_Chinook_mi,NetHabitatQualityIPScore_Chinoo,NetHabitatQuantity_Coho_mi,NetHabitatQualityIPScore_Coho,NetHabitatQuantity_Steelhead_mi,NetHabitatQualityIPScore_Steelh,NetHabitatQuantity_Chum_mi,NetHabitatQuantity_Cutthroat_mi,DistancetoUpstreamBarrier_miles,BarrierFlag,GSU_Eco_Region,GSU_Subbasin,GSU,Score,Rank,Barrier_Passibility,Habitat_Quantity_Chinook,Habitat_Quality_Chinook,Habitat_Quantity_Steelhead,Habitat_Quality_Steelhead,Habitat_Quantity_Coho,Coho_Habitat_Quanity_Raw_Data,Habitat_Quality_Coho,Habitat_Quantity_Cutthroat,Habitat_Quantity_Chum,Number_of_Species_Benefitting,Downstream_Barriers,Upstream_Barriers,Road_Density,Water_Quality,Stream_Temperature,Future_Stream_Temperature,Canopy_Opening_Angle,Tree_Height,Buffer_Width,Riparian_Score,Percentile,GSU_Scenario,GlobalID,geoms
13,127M0014,unnamed,Rabbit Cr,Mason,County,Culvert,"CO, SH, SRCT, RT",0,0,-99999,0.39,0.17,0.39,0.07,0,0.39,3,0,-99999,1,33,5.07744926288078,,14.6232233047485,16.3583431243896,3.03003995213658e-4,18.9153995513916,83.0661468505859,0,-99999,0.39,0.2,0.39,0.08,0,0.39,0.0637646800368411,,Olympic Mts Region,Satsop SB,Rabbit Cr,53.3333333333333,431,15,0,0,1,1,1,0.39,1,1,0,3,5,3,2,5,3,3,10,8,10,9.33333333333333,79.4017509727626,0,518b9155-e70a-4f14-a333-6a08d4fc1bfa,"c(x = -123.463918034651, y = 47.2717201558493)"
14,021(25800)(00868),Sand Cr,Stowe Cr,Lewis,County,Culvert,"CO, SH, SRCT, RT",33,0,-99999,1.15,0.6,1.15,0.28,0,1.15,3,0,-99999,0,-99999,5.69367526736663,,17.0899238586426,18.0142440795898,33.1777000427246,12.5308303833008,36.2108993530273,0,-99999,1.15,0.6,1.15,0.28,0,1.15,20.909820870166,,Willapa Hills Region,Stowe SB,Stowe Creek,55.6666666666667,304,10,0,0,3,2,3,1.15,4,3,0,3,5,5,2,5,2,2,8,6,6,6.66666666666667,85.2140077821012,0,120a952b-3155-481c-bdfc-9b20f9f5a613,"c(x = -123.279396078279, y = 46.5625781416124)"
15,021(28051)(00450),Davis Cr,Chehalis R,Lewis,County,Culvert,"CO, SH, SRCT, RT",0,0,-99999,0.28,0.62,0.28,0.24,0,0.28,3,0,-99999,2,33,5.29416785043802,,20.434642791748,20.9526920318604,142.675994873047,17.52294921875,40.4680023193359,0,-99999,0.1,0.71,0.1,0.25,0,0.1,0.0148687252864953,,Middle Chehalis Region,Middle Chehalis River SB,Middle Chehalis: RBF to SF SB,50.6666666666667,626,15,0,0,1,2,1,0.28,4,1,0,3,5,2,2,5,2,2,2,8,7,5.66666666666667,70.1848249027237,3,da3af6dc-5706-48d1-a4a5-e30db013a40a,"c(x = -123.152070781707, y = 46.5966295653086)"
16,125 1304W23A,Davis Cr,Chehalis R,Lewis,Private,Culvert,"CO, SH, SRCT, RT",33,0,-99999,0.28,0.61,0.28,0.24,0,0.28,3,1,0,1,67,5.29416785043802,,20.3467483520508,20.872163772583,142.675994873047,17.52294921875,40.4680023193359,0,-99999,0.28,0.73,0.28,0.26,0,0.28,0.0375106188877484,0% Passible Barrier Downstream,Middle Chehalis Region,Middle Chehalis River SB,Middle Chehalis: RBF to SF SB,41.6666666666667,1471,10,0,0,1,2,1,0.28,4,1,0,3,0,3,2,5,2,2,2,8,7,5.66666666666667,29.0369649805447,3,ebe325bb-9987-448b-88f1-693e03f55694,"c(x = -123.151993135035, y = 46.5964210481647)"
17,021(14004)(00698),Scammon Cr,Chehalis R,Lewis,County,Culvert,"CO, SH, SRCT, RT",67,0,-99999,6.13,0.52,4.93,0.24,0,6.13,3,4,0,1,33,5.28065499863152,,20.0643939971924,21.1815128326416,45.1455993652344,9.70858001708984,53.8050498962402,0,-99999,5.23,0.54,4.93,0.24,0,5.23,35.5860649566663,0% Passible Barrier Downstream,Central Lowlands Region,Scammon SB,Scammon Creek,57.3333333333333,226,5,0,0,7,2,9,6.13,3,9,0,3,0,3,2,5,2,1,7,4,8,6.33333333333333,88.7402723735409,0,63ea8203-b7f2-4df2-b1a6-9e67e5300ff6,"c(x = -123.015936314638, y = 46.7073225417739)"
18,021(15781)(00325),Salzer Cr,Chehalis R,Lewis,County,Culvert,"CO, SH, SRCT, RT, BT",33,0,-99999,0.45,0.49,0.45,0.19,0,0.45,3,0,-99999,1,33,6.46304367428619,,20.6321773529053,21.5369606018066,138.546005249023,2.81493997573853,3.36260008811951,0,-99999,0.14,-99999,0.14,-99999,0,0.14,0.0291044425329759,,Cascade Mts Region,Salzer SB,Salzer Creek,39,1687,10,0,0,1,1,1,0.45,3,1,0,3,5,3,1,5,2,1,3,2,1,2,17.9231517509728,0,3b0ede41-c3ee-4633-b051-34f65fc96a2c,"c(x = -122.94870113587, y = 46.698766654954)"
19,125 1301E23B,Lost Cr,SF Newaukum R,Lewis,Private,Culvert,"CO, SRCT, RT",67,0,-99999,0.63,0.5,0.63,0.22,0,0.63,3,2,67,0,-99999,3.53591883741845,,16.41916847229,16.6965160369873,0,0,0,0,-99999,0.63,0.5,0.63,0.22,0,0.63,2.27701757732745,,Cascade Mts Region,Newaukum SB,SF Newaukum Tribs,45.6666666666667,1069,5,0,0,2,2,2,0.63,3,2,0,3,3,5,4,5,3,3,10,0,1,3.66666666666667,48.0301556420233,0,9bc528d7-690a-46a5-87ec-e42672f320db,"c(x = -122.638110515411, y = 46.5942482146175)"
20,103-1019,unnamed,Wynoochee R,Grays Harbor,County,Culvert,"CH, SH, SRCT, RT",67,0,-99999,0,-99999,0.38,-99999,0.75,0,2,0,-99999,0,-99999,5.05773291744919,,16.8115062713623,17.4938812255859,-99999,-99999,-99999,0,-99999,0,-99999,0.38,-99999,0.75,0,0.548839401496703,Missing Riparian Data,Olympic Mts Region,Wynoochee SB,Lower Wynoochee Tribs,36.3333333333333,1885,5,0,0,1,0,0,0,0,0,2,2,5,5,2,5,3,2,4,4,5,4.33333333333333,9.14396887159533,0,a36712f8-dbf4-468a-bc48-94fcdc99ff4c,"c(x = -123.662193334111, y = 46.9969354658458)"
21,103-1049,unnamed,Black Cr,Grays Harbor,County,Culvert,"CH, CO, SH, SRCT, RT",33,0,-99999,1.08,0.6,0.49,0.29,0.73,1.08,4,0,-99999,3,33,4.70832316832026,,16.5827960968018,17.8236522674561,9.73764991760254,21.6666488647461,16.2169990539551,0,-99999,1.08,0.64,0.49,0.29,0.73,1.08,4.62181940613465,,Olympic Mts Region,Wynoochee SB,Black (Wyn) Cr,57,247,10,0,0,1,2,3,1.08,4,3,2,4,5,2,3,5,3,2,10,10,4,8,88.1079766536965,3,c8aa2c2c-0324-471f-b1d2-59814b6c2ab3,"c(x = -123.646287021347, y = 47.0143453889042)"
22,125 1205W05C,unnamed,McCormick Cr,Lewis,Private,Culvert,"CO, RT",0,0,-99999,0.3,0.38,0.3,0.16,0,0.3,3,0,-99999,1,67,5.69367526736663,,16.1304874420166,17.398946762085,24.5478992462158,12.5214500427246,50.2717971801758,0,-99999,0.3,0.38,0.3,0.16,0,0.3,0.328723566729673,,Willapa Hills Region,Rock(UC) SB,Rock (UC) Creek,51.3333333333333,583,15,0,0,1,1,1,0.3,2,1,0,3,5,3,2,5,3,2,8,6,8,7.33333333333333,72.227626459144,0,11d9b612-8e5b-43cb-8c7b-c5dd42de3b71,"c(x = -123.330270266134, y = 46.5579990401042)"
23,021(91009)(02925),Independence Cr,Chehalis R,Lewis,County,Culvert,"CO, SH, SRCT, RT",33,0,-99999,0.56,0.51,0.07,0.23,0,0.56,3,3,67,0,-99999,5.04246939239439,,18.1892757415771,19.232608795166,0,0,0,0,-99999,0.56,0.51,0.07,0.23,0,0.56,4.40385311970189,,Central Lowlands Region,Independence SB,Independence Cr,41.6666666666667,1457,10,0,0,0,2,2,0.56,3,2,0,3,0,5,2,5,2,2,10,0,1,3.66666666666667,29.0369649805447,0,ef4aeabb-bb8d-4d4f-96a7-e8e65aad7893,"c(x = -123.279800240583, y = 46.762647338142)"
24,021(24019)(04966),unnamed,Halfway Cr,Lewis,County,Culvert,"CO, SH, SRCT, RT",33,0,-99999,0.37,0.53,0.37,0.23,0,0.37,3,0,-99999,0,-99999,6.72833967937911,,18.2363548278809,18.7670993804932,0.00184715003706515,3.10186004638672,90.0691528320313,0,-99999,0.37,0.53,0.37,0.23,0,0.37,5.82334464822263,,Willapa Hills Region,South Fork SB,Stillman (SFC) Cr,48.3333333333333,834,10,0,0,1,2,1,0.37,3,1,0,3,5,5,1,5,2,2,10,2,10,7.33333333333333,59.9951361867704,1,78e066ae-73d5-4375-842b-19f83f8ba648,"c(x = -123.211651745331, y = 46.5470918927358)"
25,021(23650)(03116),unnamed,SF Chehalis R,Lewis,County,Culvert,"CO, SH, SRCT, RT",67,0,-99999,0.37,0.44,0.26,0.15,0,0.37,3,0,-99999,0,-99999,5.73902625582839,,19.8014984130859,20.8453769683838,0,0,0,0,-99999,0.37,0.44,0.26,0.15,0,0.37,0.246927463356183,,Willapa Hills Region,South Fork SB,Lower SF Chehalis Tribs,39.6666666666667,1637,5,0,0,1,1,1,0.37,3,1,0,3,5,5,2,5,2,2,10,0,1,3.66666666666667,20.5739299610895,0,43b3090d-f42d-4cc4-9f95-b9f769841114,"c(x = -123.10939989562, y = 46.5894580963974)"
26,021(24002)(01321),unnamed,Mill Cr,Lewis,County,Culvert,"CO, SH, SRCT, RT",67,0,-99999,0.33,0.42,0.33,0.18,0,0.33,3,5,0,0,-99999,4.94167062056945,,19.641881942749,20.8360710144043,2.55133985774592e-4,23.8169994354248,54.0246505737305,0,-99999,0.33,0.42,0.33,0.18,0,0.33,1.04399034139885,0% Passible Barrier Downstream,Central Lowlands Region,Mill SB,Mill Creek,41.3333333333333,1503,5,0,0,1,1,1,0.33,3,1,0,3,0,5,3,5,2,2,10,10,8,9.33333333333333,26.7509727626459,0,7867112a-6cfa-457e-9dc8-099197701a10,"c(x = -123.054814772776, y = 46.662367221511)"
27,021(31006)(00294),unnamed,Ripple Cr,Lewis,County,Culvert,"CO, SH, SRCT, RT",33,0,-99999,0.15,0.5,0.15,0.2,0,0.15,3,1,33,0,-99999,5.77186834202134,,19.278470993042,20.9482078552246,0,0,0,0,-99999,0.15,0.5,0.15,0.2,0,0.15,1.37094133939427,,Cascade Mts Region,Stearns SB,Stearns Cr,43.6666666666667,1282,10,0,0,1,2,1,0.15,3,1,0,3,3,5,2,5,2,2,10,0,1,3.66666666666667,38.545719844358,3,84a5485b-6e35-4ffb-bb71-d8b61e7b48e0,"c(x = -122.942498854625, y = 46.5719328429852)"
28,021(40077)(00103),Berwick Cr,Dillenbaugh Cr,Lewis,County,Culvert,"CO, SH, SRCT, RT",0,0,-99999,7.67,0.62,6.48,0.25,0,7.67,3,4,33,4,33,6.82118766207388,,19.6308631896973,20.9876461029053,160.231002807617,8.95182991027832,25.6048450469971,0,-99999,0.79,0.75,0.57,0.34,0,0.79,1.82969094486936,,Cascade Mts Region,Dillenbaugh SB,Dillenbaugh Creek,68.3333333333333,43,15,0,0,9,2,10,7.67,4,10,0,3,0,2,1,5,2,2,1,4,5,3.33333333333333,97.9328793774319,0,ba669e85-53a8-4501-a877-79a5170c6996,"c(x = -122.891936361405, y = 46.621638888598)"
30,021(40077)(04213),Dillenbaugh Cr,Chehalis R,Lewis,County,Culvert,"CO, SH, SRCT, RT",33,0,-99999,0.34,0.45,0.34,0.15,0,0.34,3,2,0,0,-99999,6.82118766207388,,18.3085536956787,19.9510173797607,0,0,0,0,-99999,0.34,0.45,0.34,0.15,0,0.34,0.327823667391907,0% Passible Barrier Downstream,Cascade Mts Region,Dillenbaugh SB,Dillenbaugh Creek,38.6666666666667,1712,10,0,0,1,1,1,0.34,3,1,0,3,0,5,1,5,2,2,10,0,1,3.66666666666667,17.0476653696498,0,dbd7a470-4f73-4298-af57-c52b4095a6dd,"c(x = -122.834548717327, y = 46.6496926616937)"
31,103-1348,unnamed,Newbury Cr,Grays Harbor,Federal,Culvert,"CO, SH, SRCT, RT",33,0,-99999,0.21,0.38,0.21,0.2,0,0.21,3,0,-99999,0,-99999,3.76143330129863,,13.7339096069336,15.7408018112183,-99999,-99999,-99999,0,-99999,0.21,0.38,0.21,0.2,0,0.21,1.00326864074876,Missing Riparian Data,Grays Harbor Region,Humptulips SB,WF Humptulips Tribs,50.3333333333333,660,10,0,0,1,2,1,0.21,2,1,0,3,5,5,4,5,4,3,4,4,5,4.33333333333333,68.4581712062257,0,9d1a13a0-42f5-4d91-bed6-e4563045ead6,"c(x = -123.848227576748, y = 47.3416663197833)"
32,127C0151,unnamed,Cloquallum Cr 22.0501,Mason,County,Culvert,"CO, SH, SRCT, RT",0,0,-99999,0.38,0.5,0.11,0.22,0,0.38,3,0,-99999,0,-99999,5.5795364873023,,15.8154926300049,16.9030799865723,4.0313700446859e-4,14.2389001846313,65.2555999755859,0,-99999,0.38,0.5,0.11,0.22,0,0.38,1.73683930886374,,Black Hills Region,Cloquallum SB,Cloquallum Cr,57.3333333333333,236,15,0,0,1,2,1,0.38,3,1,0,3,5,5,2,5,3,3,10,6,9,8.33333333333333,88.7402723735409,2,c80d153c-f030-4a9b-b229-426ab3aa82f9,"c(x = -123.369719862029, y = 47.0921122977582)"
34,127C0035,unnamed,unnamed,Mason,County,Culvert,"CH, CO, SH, SRCT, RT",0,0,-99999,1.25,0.45,0.88,0.19,0,1.25,3,1,67,3,0,5.89105488107732,,16.0130500793457,17.3205604553223,-99999,-99999,-99999,0,-99999,0.59,0.54,0.41,0.21,0,0.59,0.700445482532928,Missing Riparian Data,Black Hills Region,Cloquallum SB,Cloquallum Cr,51.3333333333333,569,15,0,0,2,1,3,1.25,3,3,0,3,4,1,2,5,3,2,4,4,5,4.33333333333333,72.227626459144,2,73cb26dd-da35-4247-9eab-85d31337a42c,"c(x = -123.270735558557, y = 47.0868208765823)"
35,127C0034,WF Mohney Cr,MF Wildcat Cr 22.0507,Mason,Private,Culvert,"CO, SRCT, RT",33,0,-99999,0.68,0.33,0.48,0.17,0,0.68,3,2,0,2,0,5.89105488107732,,16.0283374786377,17.311990737915,-99999,-99999,-99999,0,-99999,0.11,-99999,0.11,-99999,0,0.11,0.0803474423048118,Missing Riparian Data; 0% Passible Barrier Downstream,Black Hills Region,Cloquallum SB,Cloquallum Cr,38.3333333333333,1731,10,0,0,1,1,2,0.68,2,2,0,3,0,1,2,5,3,2,4,4,5,4.33333333333333,15.4912451361868,2,85a70bc4-4b7b-4b2c-98b5-9d940d5846f9,"c(x = -123.271456307215, y = 47.0889472209676)"
36,021(27501)(01438),unnamed,Dell Cr,Lewis,County,Culvert,"CO, SH, SRCT, RT",0,0,-99999,0.25,0.73,0.25,0.29,0,0.25,3,1,0,0,-99999,5.29416785043802,,19.5282802581787,20.5767517089844,91.33740234375,18.5891494750977,40.846248626709,0,-99999,0.25,0.73,0.25,0.29,0,0.25,2.11895353547481,0% Passible Barrier Downstream,Middle Chehalis Region,Middle Chehalis River SB,Middle Chehalis: RBF to SF SB,49.6666666666667,704,15,0,0,1,2,1,0.25,4,1,0,3,0,5,2,5,2,2,5,8,7,6.66666666666667,66.2451361867704,3,37815ce1-c8e4-45b2-abd1-7e88d9ce6b50,"c(x = -123.209655732592, y = 46.6350273331724)"
37,021(91015)(06963),unknown,Lincoln Cr,Lewis,County,Culvert,"CO, RT",33,0,-99999,0.69,0.48,0.69,0.2,0,0.69,3,0,-99999,1,0,4.76184102935595,,18.0970306396484,19.4991855621338,-99999,-99999,-99999,0,-99999,0.69,0.48,0.69,0.2,0,0.69,1.66670980578939,Missing Riparian Data,Central Lowlands Region,Lincoln Cr SB,Lincoln Cr,46.3333333333333,1005,10,0,0,2,2,2,0.69,3,2,0,3,5,1,3,5,2,2,4,4,5,4.33333333333333,50.7538910505837,2,052230a9-fc0b-4ccb-9988-b6f03b888bc8,"c(x = -123.146873720491, y = 46.7565541578557)"
38,021(94000)(05135),unnamed,SF Newaukum R,Lewis,County,Culvert,"CO, SH, SRCT, RT",33,0,-99999,1.92,0.72,1.92,0.25,0,1.92,3,1,67,1,67,3.82186019467875,,20.1641120910645,21.2494201660156,0,0,0,0,-99999,1.92,0.72,1.92,0.26,0,1.92,0.81261601654986,,Cascade Mts Region,Newaukum SB,Lower Newaukum Tribs,53.6666666666667,402,10,0,0,4,2,4,1.92,4,4,0,3,4,3,4,5,2,1,10,0,1,3.66666666666667,80.4231517509728,0,f4a3d216-418a-4594-a559-26a7e07dd747,"c(x = -122.860363328129, y = 46.600405445801)"
39,021(40106)(00558),unknown,unknown SF Newaukum R trib,Lewis,County,Culvert,"CO, SH, SRCT, RT",67,0,-99999,3.47,0.71,3.18,0.25,0,3.47,3,3,0,3,0,3.53591883741845,,18.2066516876221,18.3322715759277,0,0,0,0,-99999,0.78,0.9,0.78,0.34,0,0.78,0.541359419119981,0% Passible Barrier Downstream,Cascade Mts Region,Newaukum SB,SF Newaukum Tribs,49.6666666666667,683,5,0,0,6,2,6,3.47,4,6,0,3,0,1,4,5,2,2,10,0,1,3.66666666666667,66.2451361867704,0,6832bae7-e1f0-41d5-8ca4-9f08659312c4,"c(x = -122.71957763826, y = 46.5838251120231)"
40,125 1301E17A,unnamed,MF Newaukum R,Lewis,Private,Culvert,"CO, SH, SRCT, RT",67,0,-99999,2.32,0.59,1.11,0.23,0,2.32,3,2,67,1,0,5.30036526210221,,16.425163269043,17.8498973846436,153.888000488281,11.4997692108154,22.358549118042,0,-99999,2.13,0.6,1.11,0.23,0,2.13,3.12487434642376,,Cascade Mts Region,Newaukum SB,MF Newaukum Tribs,46.3333333333333,990,5,0,0,3,2,5,2.32,3,5,0,3,3,1,2,5,3,2,2,6,5,4.33333333333333,50.7538910505837,0,fc5033ff-5761-43e1-a782-d530e4edca3b,"c(x = -122.701027105245, y = 46.6124089426759)"
